Key,Summary,Status,Priority,Created,Assignee,Label
DS-388,Backend task 388,In Progress,Low,2023-06-27,Anita,backend
DS-389,Backend task 389,To Do,Medium,2023-06-17,Rahul,backend
DS-390,Cloud task 390,To Do,High,2023-07-04,Vikram,cloud
DS-391,Backend task 391,In Progress,Medium,2023-03-17,Shridayal,backend
DS-392,Backend task 392,Done,High,2024-02-18,Shridayal,backend
DS-393,Deployment task 393,Done,Medium,2024-04-22,Anita,deployment
DS-394,Deployment task 394,To Do,High,2023-01-01,Rahul,deployment
DS-395,Backend task 395,Done,Low,2023-11-25,Anita,backend
DS-396,Devops task 396,In Progress,High,2023-06-04,Rahul,devops
DS-397,Cloud task 397,Done,High,2023-03-02,Vikram,cloud
DS-398,Deployment task 398,To Do,High,2024-03-16,Rahul,deployment
DS-399,Ai/ml task 399,Done,Medium,2024-03-19,Vikram,ai/ml
DS-400,Ai/ml task 400,Done,High,2023-05-27,Rahul,ai/ml
DS-401,Devops task 401,Done,High,2023-03-09,Anita,devops
DS-402,Deployment task 402,To Do,Medium,2024-03-06,Vikram,deployment
DS-403,Deployment task 403,To Do,High,2024-01-07,Anita,deployment
DS-404,Cloud task 404,To Do,High,2023-10-27,Priya,cloud
DS-405,Deployment task 405,Done,High,2024-04-06,Anita,deployment
DS-406,Ai/ml task 406,To Do,High,2023-04-23,Priya,ai/ml
DS-407,Devops task 407,In Progress,Low,2024-02-23,Anita,devops
DS-408,Ai/ml task 408,In Progress,High,2024-02-28,Priya,ai/ml
DS-409,Deployment task 409,Done,High,2023-10-22,Vikram,deployment
DS-410,Cloud task 410,To Do,Low,2023-01-25,Shridayal,cloud
DS-411,Deployment task 411,In Progress,Low,2024-03-28,Anita,deployment
DS-412,Backend task 412,In Progress,Medium,2023-01-17,Vikram,backend
DS-413,Deployment task 413,Done,High,2023-09-24,Shridayal,deployment
DS-414,Backend task 414,In Progress,Low,2023-09-14,Anita,backend
DS-415,Backend task 415,In Progress,High,2023-08-27,Priya,backend
DS-416,Devops task 416,To Do,Medium,2023-12-26,Shridayal,devops
DS-417,Devops task 417,To Do,Medium,2023-04-29,Priya,devops
DS-418,Backend task 418,In Progress,Low,2024-04-26,Vikram,backend
DS-419,Ai/ml task 419,Done,Medium,2024-05-01,Anita,ai/ml
DS-420,Backend task 420,Done,High,2023-08-05,Shridayal,backend
DS-421,Ai/ml task 421,In Progress,High,2023-08-30,Priya,ai/ml
DS-422,Backend task 422,To Do,Low,2023-05-10,Anita,backend
DS-423,Deployment task 423,To Do,Medium,2023-11-27,Vikram,deployment
DS-424,Backend task 424,In Progress,High,2024-04-14,Priya,backend
DS-425,Deployment task 425,Done,Medium,2023-02-27,Priya,deployment
DS-426,Devops task 426,To Do,Low,2023-02-16,Vikram,devops
DS-427,Cloud task 427,To Do,High,2023-09-09,Vikram,cloud
DS-428,Ai/ml task 428,Done,Medium,2023-08-15,Priya,ai/ml
DS-429,Devops task 429,Done,Low,2024-02-08,Shridayal,devops
DS-430,Ai/ml task 430,To Do,Low,2023-06-05,Rahul,ai/ml
DS-431,Backend task 431,Done,Medium,2023-01-16,Priya,backend
DS-432,Ai/ml task 432,In Progress,High,2023-12-02,Rahul,ai/ml
DS-433,Ai/ml task 433,Done,High,2023-12-22,Vikram,ai/ml
DS-434,Deployment task 434,To Do,Medium,2023-04-07,Vikram,deployment
DS-435,Deployment task 435,In Progress,Low,2023-07-19,Vikram,deployment
DS-436,Devops task 436,In Progress,High,2023-12-08,Rahul,devops
DS-437,Backend task 437,To Do,Low,2024-02-02,Priya,backend
DS-438,Ai/ml task 438,To Do,Low,2024-04-05,Vikram,ai/ml
DS-439,Deployment task 439,Done,Medium,2023-04-27,Priya,deployment
DS-440,Deployment task 440,In Progress,Medium,2024-04-15,Anita,deployment
DS-441,Cloud task 441,To Do,High,2024-01-01,Rahul,cloud
DS-442,Devops task 442,Done,Medium,2023-07-27,Anita,devops
DS-443,Deployment task 443,To Do,Low,2024-05-15,Rahul,deployment
DS-444,Ai/ml task 444,Done,High,2023-09-11,Shridayal,ai/ml
DS-445,Deployment task 445,In Progress,Low,2023-08-04,Rahul,deployment
DS-446,Ai/ml task 446,To Do,High,2023-02-02,Anita,ai/ml
DS-447,Deployment task 447,In Progress,Medium,2023-04-24,Rahul,deployment
DS-448,Deployment task 448,Done,Low,2024-02-07,Shridayal,deployment
DS-449,Ai/ml task 449,In Progress,High,2023-08-06,Priya,ai/ml
DS-450,Cloud task 450,In Progress,High,2023-05-11,Rahul,cloud
DS-451,Devops task 451,To Do,Low,2023-06-17,Priya,devops
DS-452,Cloud task 452,In Progress,Medium,2024-01-02,Shridayal,cloud
DS-453,Cloud task 453,Done,Low,2023-09-19,Shridayal,cloud
DS-454,Cloud task 454,Done,High,2023-01-21,Rahul,cloud
DS-455,Deployment task 455,Done,High,2023-05-03,Rahul,deployment
DS-456,Cloud task 456,To Do,Medium,2023-02-10,Shridayal,cloud
DS-457,Backend task 457,To Do,High,2023-11-12,Rahul,backend
DS-458,Deployment task 458,Done,High,2023-02-20,Priya,deployment
DS-459,Backend task 459,Done,Low,2023-01-17,Shridayal,backend
DS-460,Ai/ml task 460,In Progress,Low,2024-03-05,Rahul,ai/ml
DS-461,Backend task 461,In Progress,Low,2024-03-20,Rahul,backend
DS-462,Backend task 462,In Progress,Medium,2023-03-19,Rahul,backend
DS-463,Deployment task 463,To Do,Medium,2023-11-02,Shridayal,deployment
DS-464,Ai/ml task 464,In Progress,High,2024-02-23,Vikram,ai/ml
DS-465,Deployment task 465,In Progress,Low,2024-04-02,Anita,deployment
DS-466,Devops task 466,Done,Low,2023-12-18,Shridayal,devops
DS-467,Deployment task 467,To Do,Medium,2023-10-27,Shridayal,deployment
DS-468,Deployment task 468,Done,Medium,2023-04-25,Vikram,deployment
DS-469,Deployment task 469,In Progress,High,2023-12-04,Vikram,deployment
DS-470,Deployment task 470,To Do,Medium,2023-12-20,Priya,deployment
DS-471,Deployment task 471,To Do,Medium,2023-01-22,Anita,deployment
DS-472,Devops task 472,Done,Medium,2024-03-06,Shridayal,devops
DS-473,Backend task 473,In Progress,Medium,2023-05-30,Shridayal,backend
DS-474,Cloud task 474,Done,High,2023-08-17,Priya,cloud
DS-475,Deployment task 475,To Do,Low,2023-05-10,Vikram,deployment
DS-476,Ai/ml task 476,In Progress,Medium,2023-04-30,Anita,ai/ml
DS-477,Deployment task 477,Done,High,2024-02-18,Vikram,deployment
DS-478,Backend task 478,In Progress,Medium,2023-12-12,Shridayal,backend
DS-479,Cloud task 479,In Progress,Low,2023-02-01,Vikram,cloud
DS-480,Devops task 480,Done,Low,2024-01-15,Shridayal,devops
DS-481,Devops task 481,In Progress,High,2023-10-18,Shridayal,devops
DS-482,Ai/ml task 482,To Do,High,2023-02-26,Anita,ai/ml
DS-483,Backend task 483,To Do,High,2023-06-22,Shridayal,backend
DS-484,Ai/ml task 484,To Do,Medium,2023-04-30,Shridayal,ai/ml
DS-485,Deployment task 485,To Do,Low,2023-10-01,Anita,deployment
DS-486,Deployment task 486,To Do,Medium,2023-11-14,Shridayal,deployment
DS-487,Cloud task 487,In Progress,Low,2023-08-12,Shridayal,cloud
DS-488,Deployment task 488,To Do,Medium,2023-07-01,Anita,deployment
DS-489,Devops task 489,In Progress,Medium,2024-04-21,Anita,devops
DS-490,Cloud task 490,To Do,Low,2023-09-16,Priya,cloud
DS-491,Deployment task 491,To Do,Low,2023-09-19,Rahul,deployment
DS-492,Cloud task 492,To Do,High,2023-02-03,Priya,cloud
DS-493,Deployment task 493,To Do,Low,2024-04-30,Rahul,deployment
DS-494,Devops task 494,Done,High,2024-04-03,Anita,devops
DS-495,Backend task 495,To Do,High,2023-10-27,Shridayal,backend
DS-496,Cloud task 496,To Do,High,2023-07-03,Shridayal,cloud
DS-497,Devops task 497,To Do,High,2023-07-17,Rahul,devops
DS-498,Cloud task 498,To Do,Low,2023-05-21,Priya,cloud
DS-499,Cloud task 499,In Progress,High,2023-08-13,Rahul,cloud
DS-500,Devops task 500,In Progress,Medium,2023-03-28,Rahul,devops
DS-501,Cloud task 501,Done,High,2024-03-24,Rahul,cloud
DS-502,Deployment task 502,In Progress,Medium,2023-11-28,Rahul,deployment
DS-503,Backend task 503,To Do,Low,2023-11-10,Priya,backend
DS-504,Backend task 504,In Progress,Low,2023-03-31,Priya,backend
DS-505,Backend task 505,To Do,Low,2023-09-05,Vikram,backend
DS-506,Cloud task 506,To Do,Low,2024-05-03,Priya,cloud
DS-507,Ai/ml task 507,Done,High,2023-06-06,Rahul,ai/ml
DS-508,Backend task 508,Done,Medium,2023-05-21,Anita,backend
DS-509,Cloud task 509,To Do,Low,2023-06-14,Rahul,cloud
DS-510,Cloud task 510,To Do,Low,2023-07-16,Vikram,cloud
DS-511,Cloud task 511,Done,Low,2023-07-20,Shridayal,cloud
DS-512,Ai/ml task 512,In Progress,High,2024-03-21,Shridayal,ai/ml
DS-513,Deployment task 513,To Do,High,2024-04-27,Vikram,deployment
DS-514,Backend task 514,To Do,Medium,2023-02-14,Anita,backend
DS-515,Backend task 515,In Progress,Low,2023-05-17,Rahul,backend
DS-516,Ai/ml task 516,Done,Medium,2024-05-11,Shridayal,ai/ml
DS-517,Backend task 517,To Do,Medium,2024-02-19,Rahul,backend
DS-518,Devops task 518,Done,Medium,2024-03-23,Priya,devops
DS-519,Ai/ml task 519,In Progress,Medium,2023-07-30,Priya,ai/ml
DS-520,Cloud task 520,Done,High,2023-07-26,Rahul,cloud
